SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,21237,Toledo,9,3,0,0,0,0,0,9,3,1,2,33.3,0.0,66.7
2010-11,24404,Tonasket,6,5,0,0,1,1,0,5,6,4,0,66.7,33.3,0.0
2010-11,39202,Toppenish,34,5,0,1,4,1,3,14,25,6,10,24.0,36.0,40.0
2010-11,36300,Touchet,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,08130,Toutle Lake,9,5,0,0,0,0,2,5,9,7,0,77.8,22.2,0.0
2010-11,20400,Trout Lake,4,0,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,17406,Tukwila,13,6,0,0,1,1,0,11,8,2,4,25.0,25.0,50.0
2010-11,34033,Tumwater,79,24,0,2,0,11,10,38,65,33,9,50.8,35.4,13.8
2010-11,27083,University Place,58,8,0,1,2,6,1,24,42,31,1,73.8,23.8,2.4
2010-11,06037,Vancouver,242,69,0,2,7,29,25,137,174,93,18,53.4,36.2,10.3
2010-11,17402,Vashon Island,10,0,0,0,0,0,0,2,8,7,1,87.5,0.0,12.5
2010-11,34975,WA State Center for Childhood Deafness & Hearing Loss,12,5,0,0,0,0,0,5,12,8,4,66.7,0.0,33.3
2010-11,35200,Wahkiakum,6,2,0,0,0,0,0,5,3,2,1,66.7,0.0,33.3
2010-11,13073,Wahluke,11,1,0,1,0,1,0,1,11,7,2,63.6,18.2,18.2
2010-11,36401,Waitsburg,7,2,0,0,0,0,0,6,3,3,0,100.0,0.0,0.0
2010-11,36140,Walla Walla,67,15,0,0,0,2,7,25,57,40,8,70.2,15.8,14.0
2010-11,39207,Wapato,18,9,0,1,1,1,2,10,17,8,4,47.1,29.4,23.5
2010-11,13146,Warden,4,3,0,0,0,1,0,5,2,1,0,50.0,50.0,0.0
2010-11,06112,Washougal,26,17,0,0,1,2,1,15,28,22,2,78.6,14.3,7.1
2010-11,01109,Washtucna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
